"Skyline Painted Trash Receptacle",44.959176,-93.27816
"Water Power Park",44.984083,-93.254742
"Coffman Plaque",44.973473,-93.23458
"Regents Professors Plaque",44.97498,-93.233785
"Wulling Hall Ornamental Wreaths",44.976056,-93.237478
"Kite Tree Marker",44.972168,-93.237903
"The Armory",44.977358,-93.232512
"Major Disciplinary Awards Professional and Scholarly Societies",44.974961,-93.228889
"Tate Hall Science Puzzles",44.975269,-93.234006
"Comstock Hall",44.972478,-93.236908
"Helical Structure",44.973885,-93.237374
"The Bent Of ΤΒΠ",44.974529,-93.233772
"Rapson Oak Grove Geologic Inscription and Monument",44.97679,-93.233477
"Distinguished Teachers",44.974824,-93.236454
"Medical School Adytum",44.972228,-93.233356
"Dr Jackson Memorial Portrait",44.973479,-93.233762
"Spanish-American War Memorial",44.977097,-93.232797
"East River Parkway",44.970208,-93.230271
"Amundson Hall Glass Fins with Dichroic Film",44.973825,-93.233103
"University Post Office",44.973195,-93.236049
"Housing Office",44.972116,-93.236621
"Caleb D Dorr Memorial Fountain",44.977712,-93.235738
"Grand Rounds Scenic Byway Marker",44.972357,-93.237956
"College Republicans Mural",44.973515,-93.238029
"Weisman Art Museum",44.973253,-93.237282
"Rapson Copper Inscription",44.97652,-93.233417
"Lillehei Heart Institute",44.970871,-93.232812
"Macro Molecule",44.97333,-93.232802
"Ornamental Arch",44.974821,-93.237653
"Anthropology Club Mural",44.973305,-93.237741
"MIFA Observatory",44.975194,-93.23496
"Globe Statue",44.9739,-93.232338
"Scott Hall Frescoed Facade and Entrance",44.976852,-93.236822
"Sevareid Journalism Library",44.974709,-93.234265
"Scholars' Walk Mural",44.974892,-93.232202
"University of Minnesota: Walte",44.975274,-93.235914
"East River Flats",44.971192,-93.235956
"David Lilly Plaza",44.976369,-93.234308
"Nicholson Ornamental Lamp And Entrance",44.977301,-93.235593
"Frederick J. Wulling Plaque",44.976349,-93.23733
"620 Fulton",44.970192,-93.228968
"Space Physics Laboratories Plaque",44.975048,-93.234473
"Campus Design",44.975794,-93.235074
"Elliott Hall Plaque",44.976436,-93.236969
"Johnston Hall",44.97585,-93.236823
"Platonic Figure",44.974872,-93.23322
"Thunder Bolt Planters",44.973065,-93.235875
"Fish Bike Rack",44.973612,-93.237237
"Eddy Hall Sculptures",44.977436,-93.23651
"Malcolm Moos Memorial Plaque",44.973423,-93.231714
"Edwin H. Hewitt House",44.962854,-93.27499
"Old Portage Trail Marker",44.97312,-93.238031
"Appleby Hall Dedication ",44.974926,-93.237122
"Elliot Memorial",44.972699,-93.232321
"University Of Minnesota Sign",44.976191,-93.237844
"Dome Fountain Courtyard",44.974522,-93.234516
"Walter Historic Gold Inlaid Architecture",44.975257,-93.236237
